,id,name,artists,acousticness,liveness,instrumentalness,energy,danceability,valence
271,6q44hsVA6PwiK9dB5Rv1qE,Circle of Life,LunarRAE,0.0168,0.166,0.000178,0.668,0.56,0.553
0,73EQPKdoo72AxZXJ7Xhiq1,虹の彼方に,ReoNa,0.945,0.124,1.62e-05,0.214,0.605,0.391
